Report Type,Service Name,Service ID,Service Type,Depends On (Target),Dependency ID
Active Relationship,"ML/AI Demo UI (Automated Metadata UI, Transcript & Subtitle Editor)",PEYBI3R,Business,ML/AI Prompt Layer (The Prompt),D2EB8E9SEN5CYY531DY
Active Relationship,iview CMS (Dashboard),PJ4N89J,Business,Metro (Transcoder),D2EB8IDQ3G8H9F74RH6
Active Relationship,"ML/AI Demo UI (Automated Metadata UI, Transcript & Subtitle Editor)",PEYBI3R,Business,Automated Metadata Engine (AME),D2EB8E9SEN5CYY531EX
Active Relationship,"ML/AI Demo UI (Automated Metadata UI, Transcript & Subtitle Editor)",PEYBI3R,Business,Transcription Engine (Transcript Model),D2EB8E9SEN5CYY531EO
Active Relationship,Chartbeat Analytics,P2JJ9S4,Business,Double J Web,D2EB8UXBGNJW96MUV7C
Active Relationship,Email Newsletters (SFMC),PZQSC21,Business,Composer API (SFMC Template Composer),D2EB8S7ZPWU5QXB37AW
Active Relationship,Chartbeat Analytics,P2JJ9S4,Business,Radio National,D2EB8UXBGNJW96MUV2R
Active Relationship,Core Next,P49JYW8,Business,Terminus API,D2EB8SRGGUZB1RZ1JAC
Active Relationship,Push Notifications (TBC),P9U04EF,Business,News Push Console,D2EB8VSGNRS4QJP6LHK
Active Relationship,Streaming QoS (Youbora),PRB3B0P,Business,iview CTV (Smart TVs),D2EB8YTGUOKYFBFBNM3
Active Relationship,ABC listen Chromecast Receiver,PFUM7XW,Business,ABC Listen App,D2EB8IHM8U9IBLBX8AA
Active Relationship,Core Next,P49JYW8,Business,Location Service (Aurora),D2EB8SRGGUZB1RZ1JE1
Active Relationship,Chartbeat Analytics,P2JJ9S4,Business,iView Web,D2EB8UXBGNJW96MUV4W
Active Relationship,iview App (Native),PTDEFMO,Business,Login & Consent Mgmt (Gigya),D2EB8ELGUT8G5GJGFTI
Active Relationship,iview App (Native),PTDEFMO,Business,ABC ME App,D2EB8ELGUT8G5GJGFUR
Active Relationship,iview Chromecast Receiver,PVOXOVV,Business,Kids App,D2EB8HQD742AWEEDYQS
Active Relationship,Profiles Provider,PWAS0GG,Business,"Subscriptions API (SFMC API, Salesforce Marketing Cloud API)",D2EB8WJPPHZC5QMPUWV
Active Relationship,Measurement & Notifications (Google Firebase),P7TA9RS,Business,triple j App,D2EB8I21NA5E2WSRD2W
Active Relationship,ABC listen Chromecast Receiver,PFUM7XW,Business,ABC KIDS Listen App,D2EB8IHM8U9IBLBX8BM
Active Relationship,Measurement & Notifications (Google Firebase),P7TA9RS,Business,Kids App,D2EB8I21NA5E2WSRD44
Active Relationship,Contact Forms (Zendesk Support),PZZQV9K,Business,reCAPTCHA,D2EB8GJJJTQZ8IXOTZO
Active Relationship,ABC Listen App,P4LREYN,Business,"SeeSaw (Favourites, History, Prefs)",D2EB8ROIYYP0G2N4VD8
Active Relationship,Chartbeat Analytics,P2JJ9S4,Business,News App,D2EB8UXBGNJW96MUV3Q
Active Relationship,Core Next,P49JYW8,Business,Weather Service (Aurora),D2EB8SRGGUZB1RZ1JAY
Active Relationship,Taxonomy Suggestions for Editors,P6W7N4U,Business,Disco (PAX Data Service),D2EB8UTFB9IV70I2ED7
Active Relationship,triple j Unearthed UGC CMS (Kentico.ai),PD7VJ6U,Business,Terminus API,D2EB8XEUWM7KN3P1L9G
Active Relationship,Disco (PAX Data Service),P7J7Z8Y,Business,Event Pipeline (Snowplow),D2EB8SNKBGY9ZLU92IW
Active Relationship,Discover (Global Search),PEXW8NY,Business,Search (Algolia),D2EB8V8ZWTMZFP189KU
Active Relationship,News Web,PSGOGCQ,Business,Terminus API,D2EB8RCUISLX9K8RH0K
Active Relationship,Login & Consent Mgmt (Gigya),PM9I9PN,Business,triple j Unearthed APIs & Transcoding,D2EB8ONIS1W6RAWZTBD
Active Relationship,Streaming QoS (Youbora),PRB3B0P,Business,iview API,D2EB8YTGUOKYFBFBNN5
Active Relationship,Automated Metadata Engine (AME),PXXI03E,Business,Disco (PAX Data Service),D2EB8JSC1ILV1MXETRV
Active Relationship,ABC Listen App,P4LREYN,Business,Terminus API,D2EB8ROIYYP0G2N4VDW
Active Relationship,Regional and Local Sites (x54 Sites),PU6P5GU,Business,Core Next,D2EB8P6ZJ01C25KY5A4
Active Relationship,wCMS (CoreMedia 11),P4VHRE4,Business,Program API (PAPI),D2EB8H30ARW4JDLN5Z1
Active Relationship,iView Web,PLYQ3N8,Business,Recommendations Engine,D2EB8PQG9Y6HD08WH5M
