Parent Name (Consumer),Parent Type,Parent ID,Child Name (Supplier),Child Type,Child ID,Relationship ID
Chromecast Receiver,Business Service,P83MFAB,ABC listen Chromecast Receiver,Business Service,PFUM7XW,D2EB8XYBNKCPXYCZX7H
Emergencies,Business Service,P77CT6W,Emergency Service (Aurora),Business Service,PWJPH1C,D2EB8TQHTD8KLB65QER
PL Media Feeds,Business Service,PDK6C1P,Terminus API,Business Service,P35H2A0,D2EB8FCPWJFNKNGZPB8
First-party Data Batch Ingestor,Business Service,PVE4BPB,ABC Account API,Business Service,PQ4TF9L,D2EB8SBVVAV6T3FVO3E
News Web,Business Service,PSGOGCQ,Recommendations Engine,Business Service,P3HP8C2,D2EB8RCUISLX9K8RH0A
triple j App,Business Service,P1FGDVJ,Search (Algolia),Business Service,PQMYULN,D2EB8LEQAD1AY6X9TOE
Terminus API,Business Service,P35H2A0,iview API,Business Service,PCW0D4S,D2EB8J8VAKGPQS9GHV5
Emergencies,Business Service,P77CT6W,Location Service (Aurora),Business Service,PVLJHEE,D2EB8TQHTD8KLB65QI1
iview CTV (Smart TVs),Business Service,PY0SPKK,iview API,Business Service,PCW0D4S,D2EB8UDUPPEQYBYWJ8X
Facebook News,Business Service,P1WIKO0,Facebook News Notifier,Business Service,P2UOJXL,D2EB8X36GG4HGLAO6WE
iview CMS (Dashboard),Business Service,PJ4N89J,iview API,Business Service,PCW0D4S,D2EB8IDQ3G8H9F74RJL
Core Next,Business Service,P49JYW8,Elections Service (Aurora),Business Service,PF197KX,D2EB8SRGGUZB1RZ1JBS
Regional and Local Sites (x54 Sites),Business Service,PU6P5GU,App Framework (Next.js),Business Service,PUHHOIW,D2EB8P6ZJ01C25KY58X
"TV Programs (BTN, Gardening, Media Watch, Q&A, Rage)",Business Service,PKUNXR0,App Framework (Next.js),Business Service,PUHHOIW,D2EB8G7V3NNW20JBFO1
Classic Web,Business Service,PKC2DG3,Core Next,Business Service,P49JYW8,D2EB8LIMFR2C0D22AF0
triple j Web,Business Service,PHNWJVG,Core Next,Business Service,P49JYW8,D2EB8QX9X8HT0VPLLX8
Kids App,Business Service,PX450TF,ABC Help (Zendesk Support),Business Service,P6OS3CR,D2EB8Q60VIALLOS2CDA
Jazz Web,Business Service,PCELWPO,Core Next,Business Service,P49JYW8,D2EB8MTC8FEOQENJVWC
ABC News Briefings (Audio Briefings),Business Service,PYBKVMM,PL Media Feeds,Business Service,PDK6C1P,D2EB8TAX7T4GCMMZV7K
iview CTV (Smart TVs),Business Service,PY0SPKK,iview TAL,Business Service,PGR9X1B,D2EB8UDUPPEQYBYWJ5W
ABC Listen App,Business Service,P4LREYN,App Support API,Business Service,PNH0TIJ,D2EB8ROIYYP0G2N4VGK
ABC Account,Business Service,PJP2RBM,Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,D2EB8NOHFJMX7RPVM6U
Email Newsletters (SFMC),Business Service,PZQSC21,Terminus API,Business Service,P35H2A0,D2EB8S7ZPWU5QXB37C4
Terminus API,Business Service,P35H2A0,"Content API (wCMS, CAPI)",Business Service,PV2ZVNZ,D2EB8J8VAKGPQS9GHTU
Mobile Apps,Business Service,PTHDVL4,Mobile Flagship,Technical Service,PYPQ3JF,D2EH6NHAV6S329WYHML
Mobile Apps,Business Service,PTHDVL4,Mobile iview,Technical Service,PLWDUGM,D2EH6NHAV6S329WYHMN
Mobile Apps,Business Service,PTHDVL4,Mobile Listen,Technical Service,P2SIMKJ,D2EH6NHAV6S329WM6SO
Mobile Apps,Business Service,PTHDVL4,Mobile ABC-ME,Technical Service,P1ED9VP,D2EH6NHAV6S329WYHMQ
Mobile Apps,Business Service,PTHDVL4,Mobile News,Technical Service,PM7Z5VK,D2EH6NHAV6S329WYHMR
Mobile Apps,Business Service,PTHDVL4,Mobile Art Maker,Technical Service,PD445XO,D2EH6NHAV6S329WYHMS
Mobile Apps,Business Service,PTHDVL4,Mobile Triple J,Technical Service,PHCJT2X,D2EH6NHAV6S329X6QIA
Livetovod-high,Technical Service,PYD8TA4,Digital Media Delivery,Business Service,P1THNEB,D44C6H5C4F4W6J3NG
LiveToVod-NPAW-High,Technical Service,P4NAVDF,Digital Media Delivery,Business Service,P1THNEB,D2FS1R0VGPANYKA9OOS
iView Live Streams,Technical Service,PCZ5UED,LiveToVod-NPAW-High,Technical Service,P4NAVDF,DE7P1AS751ODB6UK9
DTV Adelaide,Business Service,PV6ICYN,ABC TV HD-DTV-Adelaide,Business Service,PTPO07L,D2G7JXBARGWFGY219QA
DTV Adelaide,Business Service,PV6ICYN,ABC TV KIDSFamily-DTV-Adelaide,Business Service,PWN3HI9,D2G7JXBARGWFGY219QJ
DTV Adelaide,Business Service,PV6ICYN,ABC Entertains-DTV-Adelaide,Business Service,PSAFH5J,D2G7JXBARGWFGY219QK
DTV Adelaide,Business Service,PV6ICYN,ABC TV SD-DTV-Adelaide,Business Service,PGTVDKN,D2G7JXBARGWFGY219QQ
DTV Adelaide,Business Service,PV6ICYN,ABC News-DTV-Adelaide,Business Service,PHGW31R,D2G7JXBARGWFGY219Q6
DTV Brisbane,Business Service,PRXXBIK,ABC TV KIDSFamily-DTV-Brisbane,Business Service,PEID8R3,D2G7JXF6WUXGJ46TQID
DTV Brisbane,Business Service,PRXXBIK,ABC TV HD-DTV-Brisbane,Business Service,PE782P1,D2G7JXF6WUXGJ46TQIN
DTV Brisbane,Business Service,PRXXBIK,ABC Entertains-DTV-Brisbane,Business Service,PDVCJ9M,D2G7JXF6WUXGJ46TQIX
DTV Brisbane,Business Service,PRXXBIK,ABC News-DTV-Brisbane,Business Service,P4FIF1G,D2G7JXF6WUXGJ46TQJ3
DTV Brisbane,Business Service,PRXXBIK,ABC TV SD-DTV-Brisbane,Business Service,P3839VZ,D2G7JXF6WUXGJ46TQIA
DTV Canberra,Business Service,PNL9B6X,ABC TV SD-DTV-Canberra,Business Service,PIV193T,D2G7JXJ328YHLABM7AS
DTV Canberra,Business Service,PNL9B6X,ABC TV HD-DTV-Canberra,Business Service,PKEOKBC,D2G7JXJ328YHLABM7BB
